Date,Open,High,Low,Close,Volume
2014-04-29,515.48,528.01,514.91,524.82,2699000
2014-04-30,526.16,526.55,521.09,523.78,1751100
2014-05-01,525.67,531.47,522.45,528.45,1905500
2014-05-02,532.3,532.54,524.17,525.04,1688500
2014-05-05,523.38,527.45,519.89,524.92,1024100
2014-05-06,523.79,525.37,513.65,512.32,1689000
2014-05-07,514.38,515.27,501.92,507.17,3224300
2014-05-08,507.07,515.81,505.06,508.2,2021300
2014-05-09,509.35,518.48,502.82,515.89,2439400
2014-05-12,522.08,528.74,517.59,527.02,1912500
2014-05-13,529.44,534.6,528.06,530.17,1653400
2014-05-14,531.54,531.54,523.85,523.77,1191700
2014-05-15,524.26,524.43,516.0,517.14,1704300
2014-05-16,519.96,520.37,514.03,517.78,1485200
2014-05-19,518.28,528.33,516.17,525.97,1277700
2014-05-20,528.29,534.76,524.86,526.87,1784700
2014-05-21,531.44,537.71,530.45,535.99,1196200
2014-05-22,539.65,546.1,539.3,542.08,1615800
2014-05-23,545.76,552.12,542.21,549.68,1932100
2014-05-27,554.48,564.45,552.83,562.85,2104100
2014-05-28,563.02,566.29,559.46,558.61,1652000
2014-05-29,561.81,562.46,557.18,557.02,1354100
2014-05-30,559.26,559.81,554.39,556.83,1771100
2014-06-02,559.16,559.36,544.24,550.9,1435000
2014-06-03,549.48,550.83,541.06,541.96,1866600
2014-06-04,540.02,547.11,537.27,541.68,1816400
2014-06-05,544.9,553.43,542.96,550.87,1689100
2014-06-06,556.53,556.53,547.43,553.29,1736700
2014-06-09,555.62,561.36,554.52,559.05,1467500
2014-06-10,558.98,562.06,556.37,557.49,1351700
2014-06-11,556.47,558.35,553.5,555.78,1100100
2014-06-12,555.77,556.46,546.96,548.33,1458400
2014-06-13,550.75,550.79,544.07,548.74,1220500
2014-06-16,547.76,548.12,540.04,541.3,1702500
2014-06-17,542.71,543.83,537.85,540.04,1444500
2014-06-18,543.37,552.04,542.51,550.34,1741700
2014-06-19,552.72,553.48,547.01,551.86,2456800
2014-06-20,555.33,556.05,548.89,553.32,4508300
2014-06-23,553.63,563.45,552.73,561.86,1536800
2014-06-24,563.64,571.08,559.47,561.53,2207100
2014-06-25,563.71,578.37,563.67,575.49,1969300
2014-06-26,579.41,580.86,570.28,572.85,1741900
2014-06-27,575.6,578.28,572.23,574.08,2236900
2014-06-30,577.08,577.98,573.18,572.13,1313700
2014-07-01,576.74,582.8,575.07,579.48,1447900
2014-07-02,581.75,583.84,578.8,579.15,1056300
2014-07-03,581.75,583.41,579.33,581.53,714100
2014-07-07,582.16,584.82,578.0,579.07,1064600
2014-07-08,576.08,577.94,564.58,567.97,1909500
2014-07-09,570.02,575.14,567.82,572.93,1116700
2014-07-10,564.36,575.01,563.46,567.98,1356700
2014-07-11,570.34,579.26,569.86,576.01,1621700
2014-07-14,581.0,583.61,576.45,581.67,1854000
2014-07-15,584.14,584.2,574.98,581.58,1623000
2014-07-16,586.39,586.79,580.61,579.47,1397100
2014-07-17,577.94,579.4,567.05,570.59,3016500
2014-07-18,591.38,595.17,580.41,591.83,4014100
2014-07-21,590.13,592.77,583.63,586.25,2062100
2014-07-22,589.1,598.01,588.98,591.49,1699100
2014-07-23,591.61,596.21,590.88,592.72,1233100
2014-07-24,594.82,597.86,590.15,590.11,1035100
2014-07-25,588.78,590.24,585.42,585.8,932400
2014-07-28,586.46,590.88,583.15,587.37,986800
2014-07-29,587.14,588.09,581.92,582.41,1349800
2014-07-30,584.94,587.89,582.4,584.21,1016400
2014-07-31,579.01,582.05,568.44,568.47,2102700
2014-08-01,568.84,574.38,561.31,562.97,1955200
2014-08-04,567.48,573.77,562.56,570.02,1427300
2014-08-05,568.49,570.41,561.07,561.98,1551200
2014-08-06,560.24,569.14,558.47,563.27,1334300
2014-08-07,566.44,568.33,559.56,560.28,1110900
2014-08-08,562.02,568.69,558.82,565.66,1494700
2014-08-11,568.43,568.93,564.45,564.78,1214700
2014-08-12,562.97,564.35,559.34,559.65,1542000
2014-08-13,565.76,573.43,564.2,571.64,1439200
2014-08-14,574.6,576.32,569.32,571.51,985400
2014-08-15,576.28,577.79,568.96,570.34,1519100
2014-08-18,574.53,582.91,574.42,578.98,1284100
2014-08-19,583.4,585.73,582.4,583.65,978600
2014-08-20,584.28,585.09,580.97,581.29,1036700
2014-08-21,582.22,582.9,579.55,580.18,914800
2014-08-22,581.99,583.63,579.05,579.37,789000
2014-08-25,583.12,583.4,577.41,577.03,1361400
2014-08-26,579.67,580.21,575.0,574.7,1639600
2014-08-27,575.69,576.91,568.54,567.88,1703300
2014-08-28,568.0,571.68,565.55,566.09,1292900
2014-08-29,569.77,570.47,565.52,568.47,1083700
2014-09-02,570.28,576.25,569.63,574.17,1578400
2014-09-03,578.41,581.39,573.43,574.78,1215100
2014-09-04,578.41,584.4,577.63,578.8,1458100
2014-09-05,582.38,584.94,580.36,582.88,1632300
2014-09-08,584.99,590.15,584.69,586.5,1431000
2014-09-09,587.29,587.39,578.41,577.83,1287200
2014-09-10,579.91,581.9,575.36,579.91,977300
2014-09-11,578.77,580.22,574.68,578.17,1221000
2014-09-12,579.41,580.05,572.89,572.47,1601600
2014-09-15,571.37,573.38,566.65,569.97,1597500
2014-09-16,571.19,579.91,571.09,576.78,1480300
2014-09-17,578.42,585.91,577.19,581.57,1692800
2014-09-18,585.39,587.93,583.4,586.05,1444500
2014-09-19,589.88,594.85,587.89,592.82,3736600
2014-09-22,592.19,592.32,581.86,584.16,1689500
2014-09-23,585.24,585.24,579.41,577.95,1471400
2014-09-24,579.87,588.02,578.93,584.77,1728100
2014-09-25,585.94,586.37,572.61,571.92,1925900
2014-09-26,574.48,577.66,573.09,573.94,1443600
2014-09-29,570.18,576.61,569.61,573.21,1282400
2014-09-30,575.35,578.26,571.28,574.2,1621700
2014-10-01,574.43,576.0,565.46,565.16,1445400
2014-10-02,565.76,570.34,561.78,566.96,1178400
2014-10-03,571.48,575.64,570.93,572.13,1141700
2014-10-06,577.22,579.41,572.87,574.19,1214600
2014-10-07,572.83,573.69,562.2,560.66,1911300
